scientific_name,common_name,impact_country,impact_region,impact_mechanism,impact_category,category_evidence,confidence_rating,confidence_justification,impact_details,impact_species,notes,reference,file_name
Dryophytes cinereus,American Green Treefrog,NA,NA,NA,DD - Data deficient,NA,NA,NA,NA,NA,NA,NA,EICAT_(Hyla) Dryophytes cinereus_13052021_accept.xlsm
Acacia cyclops,"cyclops wattle, one-eyed wattle, red-eye, red-eyed wattle, rooikrans, coastal wattle",South Africa,Cape Province,(9) Chemical Impact on ecosystem,DD - Data deficient,"The results confirm earlier reports that invasion by woody shrubs results in organic matter and nutrient enrichment of surface soils of both ecosystems. In the more fertile strandveld both phosphorus and nitrogen (significant at P<0.10) showed trends towards enhanced annual mineralization rates upon invasion, while in the low nutrient fynbos system only phosphorus followed this trend. The δ15N values of the soils from the invaded sites of both ecosystems indicated a strong influence of the alien species on the soil nitrogen component. In both fynbos and strandveld, acacias increase the organic matter and nitrogen contents of the soils with  associated decreases in C:N ratios.",NA,NA,NA,NA,Impact on native plants not mentioned.,"Stock WD, Wienand KT, Baker AC (1995) Impacts of invading N 2-fixing Acacia species on patterns of nutrient cycling in two Cape ecosystems: evidence from soil incubation studies and 15 N natural abundance values. Oecologia 101: 375-382. https://doi.org/10.1007/BF00328825",EICAT_Acacia cyclops_02112021_IUCN_accept.xlsx
Acacia cyclops,"cyclops wattle, one-eyed wattle, red-eye, red-eyed wattle, rooikrans, coastal wattle",South Africa,Melkbosstrand,(9) Chemical Impact on ecosystem,DD - Data deficient,"Soil N concentrations and litter-layer N contents were elevated under acacia canopies. The N status of the fynbos and strandveld ecosystems is elevated by the invasion of alien acacias. The results for P cycling are equivocal and P availability does not appear to limit plant growth in the strandveld. This study showed that the invasion of the coastal lowlands of the SW Cape by alien acacias results in an increase in the N status of fynbos, and to a lesser extent that of the strandveld, during the early stages of invasion. In conclusion, during the early stages of invasion, alien Acacia spp. increase the N status of both fynbos and strandveld ecosystems, which may result in changes in the growth form composition of adjacent indigenous vegetation, particularly the understorey species. On the other hand, no strong evidence was found to suggest that acacia invasion increases the P status of these ecosystems. Indeed, P availability does not appear to limit the growth of indigenous or alien plant species in the strandveld.",NA,NA,"The litter of A. saligna and A. cyclops in the densely invaded areas at both study sites exhibited greater dry mass and nutrient contents (except Mg in the strandveld) than the plants in the lightly invaded areas. Both litter layer dry mass, P and N contents of acacia-invaded fynbos and strandveld at Melkbosstrand exceeded those of uninvaded vegetation in all the major vegetation categories of the south-western Cape.",Pterocelastrus tricuspidatus,NA,Witkowski ETF (1991) Effects of invasive alien acacias on nutrient cycling in the coastal lowlands of the Cape fynbos. Journal of Applied Ecology 28: 1-15. https://doi.org/10.2307/2404109,EICAT_Acacia cyclops_02112021_IUCN_accept.xlsx
Acacia cyclops,"cyclops wattle, one-eyed wattle, red-eye, red-eyed wattle, rooikrans, coastal wattle",South Africa,Agulhas Plain,(9) Chemical Impact on ecosystem,MR - Major,"The cover of indigenous species under Acacia did not differ significantly from that in reference sites, but species richness was lower under Acacia and soils were considerably enriched. Native species richness was significantly lower in the kikuyu field, Acacia thicket and Eucalyptus plantation compared to their natural reference sites. Native plant cover was significantly lower in the kikuyu field and Eucalyptus plantation compared to their reference sites, but did not differ significantly between Acacia thicket and its reference site (Fig. 2). Diversity and evenness were significantly lower in all three degraded sites compared to their reference sites (kikuyu field F(1, 4) = 94.04, P\0.001; F(1, 4) = 76.6, P\0.001 respectively; Acacia thicket F(1, 4) = 20.7, P = 0.01; F(1, 4) = 76.6, P\0.001 respectively and Eucalyptus plantation F(1, 4) = 94.281, P\0.001); F(1, 4) = 38.381, P = 0.003 respectively. In the Acacia site total N and soil micro-element concentrations (Na, Ca and Mg) were approximately double those of their reference site. Potassium was the only microelement with a higher concentration in the reference site than in the Acacia site.",Medium,"Native species not listed. Vegetation surveys were conducted at degraded sites and carefully selected reference sites. No intermediate sites. In each subplot (162 plots in total), recorded structural parameters, such as proportion of open soil and litter cover, total projected plant cover and projected canopy cover of the growth forms.","In the Acacia thicket,
alien trees (54%), predominantly Acacia saligna interspersed with A. cyclops, and native graminoids (Ficinia sp.)
dominated the vegetation. The reference site of the Acacia
thicket was dominated by native graminoids (60%), mainly
Ficinia sp. (20%), accompanied by ericoids (20%) and other
native shrubs (11%).",Fynbos species (not specified),A. saligna site interspersed with A. cyclops.,"Gaertner M, Richardson DM, Privett SD (2011) Effects of alien plants on ecosystem structure and functioning and implications for restoration: insights from three degraded sites in South African fynbos. Environmental management 48: 57-69. https://doi.org/10.1007/s00267-011-9675-7",EICAT_Acacia cyclops_02112021_IUCN_accept.xlsx
Acacia cyclops,"cyclops wattle, one-eyed wattle, red-eye, red-eyed wattle, rooikrans, coastal wattle",South Africa,South-western part of the Cape Floristic Region,(11) Structural Impact on ecosystem,MO - Moderate,"Both insect abundance and species richness varied substantially between plant species, and in some cases within plant species (e.g. insect abundance varied greatly between samples from A. cyclops) (Fig. 2, Table 1). Overall, insect abundance was greater on indigenous plants than on alien plants, but species richness was not significantly different. However, for the summer samples both insect abundance and species richness were greater in samples from indigenous plants. When analysing insect feeding guilds separately, the abundance and species richness of herbivores were always significantly higher on indigenous than on alien plants, but at other trophic levels (i.e. predators/parasites or detritivores) the differences were smaller or seasondependent (Table 1).",Low,"Do not say insect species and which natives declined. Not all results found significant. Insects were collected in 2005 by sweep-netting
five randomly selected plants (50 hits per plant) in
medium to large populations (a minimum of 20
plants) representing largely homogeneous monospecific patches. Two localities per species were
sampled in July, to assess geographical variation, and
one locality for each species was re-sampled in December (using different plants), to consider potential seasonal variation. Therefore, 15 trees of each plant
species, from two different sites (Fig. 1) were sampled","(i) more species and individuals of insect herbivores occur on indigenous plants; (ii) when extending analyses to all insects, differences between indigenous and alien plants are not immediately obvious, and need to be qualified in terms of seasonal representation.  In both indigenous and alien species, leaf structural traits (Peeters 2002) are likely to be important.","In total, 3244 insect individuals were collected and assigned to 315 morphospecies.",NA,"PROCHEŞ Ş, Wilson JR, Richardson DM, Chown SL (2008) Herbivores, but not other insects, are scarce on alien plants. Austral Ecology 33: 691-700. https://doi.org/10.1111/j.1442-9993.2008.01836.x",EICAT_Acacia cyclops_02112021_IUCN_accept.xlsx
Acacia cyclops,"cyclops wattle, one-eyed wattle, red-eye, red-eyed wattle, rooikrans, coastal wattle",South Africa,Cape of Good Hope Nature Reserve,(11) Structural Impact on ecosystem,MO - Moderate,"The correspondence display of the Acacia cyclops infested Tall Mixed Fynbos plots (Figure 1), shows that three out of the four species of nectarivore are strongly associated with low levels of infestation. The relative density of frugivorous and granivorous birds tended to increase, but total bird density did not change significantly with increasing density of Acacia cyclops in Tall Mixed Fynbos. However, the density of nectarivorous birds decreased with increasing A. cyclops infestation as a result of the elimination of their food plants (proteaceous and ericaceous shrubs).  Moreover, monthly bird density did not differ significantly between plots (Friedman Test X2 5 = 9,0 N.S.). About a third of the 23 bird species recorded in the 0-100%-infested Restionaceous Tussock Marsh plots were absent from the A. cyclops infestations. With the exception of one insectivore (dusky flycatcher Muscicipa adusta), these were relatively largebodied, granivorous species. There is little evidence of bird-species replacement with increasing Acacia cyclops infestation (Table 3). However, results from the mixed alien infested Restionaceous Tussock Marsh (Table 4) support this hypothesis.",Medium,"Birds were counted between June 1984 and April 1986
in the 10%, 42% and 72% Acacia cyclops-infested plots
and the 100% mixed-alien plot, between June 1985 and
April 1986 in the < 1%, 18% and 50% A. cyclopsinfested, and between June 1985 and January 1986 in the
three remaining mixed-alien plots.  Nocturnal species roosting by day, wide-ranging raptorial
species and aerial foragers [e.g. swifts (Apodidae) and
swallows (Hirundinidae)], were not counted.","Although the foliage profiles and half-heights of the
vegetation differed between the Acacia cyclops-infested
plots (Figure 3), invertebrate densities were similar
(Figure 4).","Cape turtle dove
Streptopelia capicola (G)""
Speckled mousebird
Colius striatus (Fo)
Ground woodpecker
Geocolapres olillaceus (I)
Cape bulbul
Pycnonotus capensis (Fr)
Olive thrush
Turdus olillaceus (I)
Cape robin
Cossypha caffra (I)
Grassbird
Sphenoeacus afer (I)
Longbilled crombec
Sylllettia rufescens (I)
Greybacked cisticola
Cisticola sUbruficapilla (I)
Spotted prinia
Prinia maculosa (I)
Southern boubou
Laniarius fe""ugineus (I)
Bokmakierie
Telephorus zeylonus (I)
Redwinged starling
Onychognathus morio (Fr)
Cape sugarbird
Promerops cafer (N)
Malachite sun bird
Nectarinia famasa (N)
Orange breasted sun bird
N. lIiolacea (N)
Lesser doublecoUared sun bird
N. clllllybea (N)
Cape white-eye
Zosterops pallidus (I)
Cape weaver
Ploceus capensis (G)
Cape siskin
Serinus tona (G)
YeHow canary
Serinus flaviventris (G)
Cape bunting
Emberiza capensis (G)",Frugivores and granivores not negatively affected.,"Fraser MW, Crowe TM (1990) Effects of alien woody plant invasion on the birds of Mountain Fynbos in the Cape of Good Hope Nature Reserve. African Zoology 25: 97-108. https://www.ajol.info/index.php/az/article/view/153592",EICAT_Acacia cyclops_02112021_IUCN_accept.xlsx
Acacia cyclops,"cyclops wattle, one-eyed wattle, red-eye, red-eyed wattle, rooikrans, coastal wattle",South Africa,Millers Point,(9) Chemical Impact on ecosystem,MC - Minimal concern,"Consequently, the higher levels of organic matter below these Acacia canopies results in concomitant increase in soil nitrogen. The results of the soil analysis indicated that pH was not significantly different between the species, while the Acacia spp. were having some effect on soil organic matter and nitrogen content, below their canopies. Phosphorus content of (soil below the canopies were only significantly different between the Acacia spp .. With respect to the post-fire vegetation, the Acacia spp. were found to have the greatest effect on diversity and relative abundance. A One-Way ANOVA on the under-canopy samples gave a significant difference, with Acacia cyclops and A.saligna showing the greatest differences between each other (Fig.3) . The invasive aliens that have caused most variation thus far, namely the two Acacia spp., also appear to have the greatest effect on species diversity and relative abundance of vegetation (Fig. 6 & 7). Acacia cyclops appears to have a non- significant increase in equitability, indicating a relatively unchanged species diversity under the canopy. Nevertheless, certain species did appear to be more dominant than others in these areas (pers. obs.). Acacia cyclops has also been found to possess substances which delay germination of certain indigenous species (Jones et al. 1963), however no such pattern of inhibition was observed.",Low,"Doesn’t say native species affected, unsure if the native density or richness was lower?",NA,NA,NA,Engledow HR (1989) The effect of four invasive alien species on various soil factors and immediate post-fire vegetation-in mountain fynbos. PHD Thesis. University of Cape Town.,EICAT_Acacia cyclops_02112021_IUCN_accept.xlsx
Acacia cyclops,"cyclops wattle, one-eyed wattle, red-eye, red-eyed wattle, rooikrans, coastal wattle",South Africa,Cape Province,(10) Physical Impact on ecosystem,MN - Minor,"Overtopped individuals of both indigenous species showed morphological and physiological changes generally consistent with widely reported shade effects. However, R. lucida showed an apparently rare combination of unchanged maximum photosynthetic rate (A max) and increased apparent quantum yield (at) under shaded conditions.  The major constraint to photosynthesis in the otherwise well-adapted alien-shaded individuals of R. lucida appeared to be stomatal lags in response to rapid changes in light, and an inappropriate diurnal stomatal rhythm. This limitation in R.lucida, together with the lower respiratory costs incurred by shaded R. glauca, suggest that R. glauca was the better adapted of the two species to deep shade conditions beneath the alien canopy. This advantage may be accentuated by an apparent lack of competition for soil water resources between R. glauca and the alien.",Medium,"Only 24 leaves looked at. Within an area of approximately
 30x30m, three well-spaced adult shrubs of Rhus
 glauca Thunb. and R. lucida L. were located in both
 A. cyclops-shaded environments and in exposed
 situations in natural vegetation. Using two fully
 expanded leaves from each individual (i.e. six leaves
 per species per treatment; 24 leaves in all), diurnal
 trends of leaf physiological parameters were estab-
 lished. This sample size was a necessary compromise
 between the requirements for sufficient replication
 on a species basis, and the need for sufficient
 resolution in time.",NA,"Rhus glauca, Rhus lucida",NA,"Midgley GF, Rutherford MC, Davis GW, Bosenberg JDW (1992) Photosynthetic responses of heliophilous Rhus species to environmental modification by invasive shrubs. Functional Ecology 6: 334-345. https://doi.org/10.2307/2389525",EICAT_Acacia cyclops_02112021_IUCN_accept.xlsx
Acacia cyclops,"cyclops wattle, one-eyed wattle, red-eye, red-eyed wattle, rooikrans, coastal wattle",South Africa,Western Cape,(11) Structural Impact on ecosystem,MO - Moderate,"Both species richness and density decreased with increasing Acacia height and canopy
density.  I show that Acacia thickets in the south-western CFR do not support
all species or all functional groups and contribute to homogenization of the regional bird
fauna.",Low,"Species do not decline consistently with invasion across seasons. Did not look at completely pristine area to compare with. Birds were surveyed in Acacia thickets in the south-western Western Cape
in three seasons to examine species richness.",NA,"Heron Black-Headed Ardea melanocephala, Ibis Sacred Threskiornus aethiopicus, Ibis Hadeda Bostrychia hagedash, Goose Egyptian Alopochen aegyptiaca, Goose Spurwing Plectropterus gambensis, Kite Yellow-Billed Milvus parasitus, Kite Black-Shouldered Elanus caeruleus, Eagle Booted Aquila pennatus, Buzzard Steppe Buteo vulpinus, Buzzard Jackal Buteo rufofuscus, Sparrowhawk Black Accipiter melanoleucus, Goshawk African Accipiter tachiro, Marsh-Harrier African Circus ranivorus, Harrier Black Circus maurus, Harrier-Hawk African Polyboroides typus, Kestrel Rock Falco naumanni, Francolin Cape Pternistes capensis, Guineafowl Helmeted Numida meleagris, Crane Blue Anthropoides paradiseus, Lapwing Blacksmith Vanellus armatus, Pigeon Speckled Columba guinea, Pigeon African Olive Columba arquatrix, Dove Red-Eyed Streptopelia semitorquata, Dove Cape Turtle Streptopelia capicola, Dove Laughing Streptopelia senegalensis, Dove Namaqua Oena capensis, Owl Barn Tyto alba, Eagle-Owl Cape Bubo capensis, Eagle-Owl Spotted Bubo africanus, Nightjar Fiery-Necked Caprimulgus pectoralis, Mousebird Speckled Colius striatus, Mousebird White-Backed Colius colius, Mousebird Red-Faced Urocolius indicus, Hoopoe African Upupa africana, Swallow Barn Hirundo rustica, Drongo Fork-Tailed Dicrurus adsimilis, Crow Cape Corvus capensis, Crow Pied Corvus albus, Bulbul Cape Pycnonotus capensis, Thrush Olive Turdus olivaceus, Stonechat African Saxicola torquatus, Robin-Chat Cape Cossypha caffra, Scrub-Robin Karoo Cercotrichas coryphoeus, Apalis Bar-Throated Apalis thoracica,
Crombec Long-Billed Sylvietta rufescens, Grassbird Cape Sphenoeacus afer,Cisticola Grey-Backed Cisticola subruficapilla, Cisticola Levaillants Cisticola tinniens, Neddicky Cisticola fulvicapilla, Prinia Karoo Prinia maculosa, Flycatcher Dusky Muscicapa adusta, Flycatcher Fiscal Sigelus silens, Batis Cape Batis capensis, Flycatcher African ParadiseFlycatcher African Paradise Terpsiphone viridis, Wagtail Cape Motacilla capensis, Pipit African Anthus cinnamomeus, Longclaw Cape Macronyx capensis, Fiscal Common Lanius collaris, Boubou Southern Laniarius ferrugineus, Bokmakierie Telophorus zeylonus, Starling Pied Spreo bicolor, Starling Red-Winged Onychognathus morio, Sunbird Malachite Nectarinia famosa, Sunbird Lesser Double-Collared Cinnyris chalybeus, White-Eye Cape Zosterops capensis, Sparrow House Passer domesticus, Sparrow Cape Passer melanurus, Weaver Cape Ploceus capensis, Weaver Southern Masked Ploceus velatus, Bishop Yellow Euplectes capensis, Waxbill Common Estrilda astrild, Waxbill Swee Estrilda melanotis, Whydah Pin-Tailed Vidua macroura, Bunting Cape Emberiza capensis, Canary Cape Serinus canicollis, Canary Bully",NA,Rogers AM (2012) Avian assemblages of invasive Australian Acacia thickets in the Western Cape. PHD Thesis. Stellenbosch University (Stellenbosch).,EICAT_Acacia cyclops_02112021_IUCN_accept.xlsx
Acacia dealbata,Silver wattle,Spain,Ourense (NW of Spain),(9) Chemical Impact on ecosystem,MR - Major,"Our results show that A. dealbata presence increases total N, NHþ4 -N and NO3 -N and decreases pH in soils but does not affect light characteristics. Acacia dealbata modifies soil seed bank composition by decreasing species richness, seed density and the percentage of bryophyte and fern spores, and by increasing the percentage of Asteraceae and exotic species. Understorey of invaded A. dealbata forests shows a decrease in species richness and plant cover.",Medium,Species richness significantly lower with A. dealbata in 2/3 sites.,"Soil with A. dealbata showed increased soil acidity. Species richness and seed density of soil seed banks were higher under Q. robur canopies in two of the sites, this effect being more intense in Merens. The percentages of Asteraceae and exotic species were higher under A. dealbata canopies, with a significant interaction between species and site in the latter.",Quercus robur,NA,"González-Muñoz N, Costa-Tenorio M, Espigares T (2012) Invasion of alien Acacia dealbata on Spanish Quercus robur forests: Impact on soils and vegetation. Forest Ecology and Management 269: 214-221. https://doi.org/10.1016/j.foreco.2011.12.026",EICAT_Acacia dealbata_02112021_IUCN_accept.xlsx
